record_id,muni_name,hybrid,veh_type,fuel,year,make_name,q1_2008,q2_2008,q3_2008,q4_2008,mi_per_day,mpg_adj,gal_perday,co2eqv_day,curbwt,msrp,mpg2008,veh_zip
12132734,BOSTON,0,Car,Gasoline,2008,Pontiac,1,1,0,0,69.9,22.00,3.18,28.77,3500,22000,22,02128
16070500,BOSTON,0,SUV,Gasoline,2000,Kia,0,0,1,1,13.54,15.01,0.90,8.17,3200,17000,18,02119
13225532,BOSTON,0,SUV,Gasoline,1997,Nissan,0,0,0,1,23.92,11.77,2.03,18.40,3700,29000,15,02127
10930143,BOSTON,0,Car,Gasoline,1996,Cadillac,0,1,1,1,1.8,14.61,0.12,1.11,4400,38000,19,02125
10978974,BOSTON,0,Car,Gasoline,2002,Ford,0,0,1,1,31.44,18.23,1.72,15.62,3400,22000,21,02125
10073438,BOSTON,0,Car,Gasoline,2001,Buick,1,0,0,0,10.84,18.23,0.59,5.39,3400,21000,21,02125
4574186,BOSTON,0,SUV,Gasoline,2000,Jeep,1,1,0,0,13.37,13.61,0.98,8.90,4000,29000,16,02128
909191,BOSTON,0,Car,Gasoline,2005,Toyota,1,1,1,0,33.33,23.53,1.42,12.83,3200,21000,25,02121
14774439,BOSTON,0,SUV,Gasoline,2004,Toyota,1,1,1,0,27.3,20.29,1.35,12.19,3100,20000,22,02124
7677721,BOSTON,0,Car,Gasoline,2003,Mercury,0,0,1,0,18.19,18.98,0.96,8.68,3300,21000,21,02121
7530154,BOSTON,0,Car,Gasoline,2001,Buick,0,0,1,1,22.13,17.87,1.24,11.22,3600,25000,21,02127
2468315,BOSTON,0,Car,Gasoline,2000,Ford,0,1,1,1,25.3,22.51,1.12,10.18,2600,15000,27,02124
2824981,BOSTON,0,SUV,Gasoline,1998,Lincoln,0,1,1,1,0,10.20,0.00,0.00,5600,44000,13,02124
10203851,BOSTON,0,Car,Gasoline,2008,Nissan,1,1,1,1,35.78,21.56,1.66,15.03,3400,26000,22,02122
4403312,BOSTON,0,Car,Gasoline,2008,Nissan,0,0,1,1,29.53,23.52,1.26,11.37,3400,21000,24,02125
15711787,BOSTON,0,Car,Gasoline,1997,Ford,1,1,0,0,23.39,16.82,1.39,12.60,3300,20000,21,02122
9800789,BOSTON,0,,Gasoline,2000,Chevrolet,1,1,0,0,28.19,11.91,2.37,21.43,5300,25000,14,02118
6410206,BOSTON,0,SUV,Gasoline,2001,Nissan,0,0,0,1,11.54,13.61,0.85,7.68,4000,24000,16,02128
6464059,BOSTON,0,Car,Gasoline,2004,Honda,0,0,0,1,19.72,27.12,0.73,6.59,2600,17000,30,02115
7168468,BOSTON,0,Car,Gasoline,1997,Nissan,1,1,1,1,9.63,22.42,0.43,3.89,2400,14000,28,02125
12468724,BOSTON,0,SUV,Gasoline,2006,Ford,0,0,0,1,37.91,14.12,2.69,24.32,4600,29000,15,02122
9732487,BOSTON,0,SUV,Gasoline,2005,Infiniti,0,1,1,1,30.38,15.68,1.94,17.55,4300,37000,17,02124
15572869,BOSTON,0,Van,Gasoline,1992,Chevrolet,1,1,1,0,18.16,12.30,1.48,13.37,3200,15000,17,02120
3145571,BOSTON,0,Van,Gasoline,1998,Dodge,0,0,0,1,14.47,13.84,1.05,9.47,3800,23000,18,02121
4344662,BOSTON,0,Car,Gasoline,2001,Toyota,1,1,0,0,6.21,20.84,0.30,2.70,3100,21000,24,02109
1380056,BOSTON,0,Car,Gasoline,2007,Ford,0,1,0,0,0,26.46,0.00,0.00,2600,16000,27,02128
2258203,BOSTON,0,Car,Gasoline,1995,Saab,0,1,1,1,37.7,15.83,2.38,21.57,3000,24000,21,02116
4847531,BOSTON,0,SUV,Gasoline,2004,Lexus,1,1,0,0,29.03,16.60,1.75,15.84,4100,37000,18,02116
15644844,BOSTON,0,SUV,Gasoline,2007,Nissan,1,1,1,1,61.05,18.25,3.35,30.30,4000,31000,19,02127
3077155,BOSTON,0,Car,Gasoline,2008,Cadillac,0,0,0,1,0,17.64,0.00,0.00,4000,45000,18,02128
8723603,BOSTON,0,Truck,Gasoline,2001,Ford,1,0,0,0,41.3,13.02,3.17,28.72,5000,33000,15,02124
4580004,BOSTON,0,Car,Gasoline,2004,Cadillac,0,1,1,1,0,17.17,0.00,0.00,4000,52000,19,02124
331859,BOSTON,0,Car,Gasoline,1996,Honda,1,1,1,1,35.07,16.92,2.07,18.77,3000,21000,22,02121
14899245,BOSTON,0,Car,Gasoline,2001,Saab,0,1,1,1,0,17.87,0.00,0.00,3200,41000,21,02115
15722044,BOSTON,0,Car,Gasoline,2007,Acura,1,1,1,1,51.02,20.17,2.53,22.91,3600,36000,21,02127
6978772,BOSTON,0,Car,Gasoline,1990,Cadillac,0,1,0,0,5.11,11.12,0.46,4.16,4300,29000,16,02125
